player_id,total_snaps,pass_snaps,run_snaps,total_pressures,total_tfls,pressure_generated,tfl_rate,player_name,position,team
00-0035656,434,204,230,25,13,0.12254901960784313,0.05652173913043478,Khalen Saunders,DL,NYJ
00-0037270,508,237,271,29,16,0.12236286919831224,0.05904059040590406,Otito Ogbonnia,DL,LAC
00-0032415,618,360,258,44,25,0.12222222222222222,0.09689922480620156,Matthew Judon,LB,MIA
00-0035642,756,438,318,53,29,0.12100456621004566,0.09119496855345911,Josh Hines-Allen,DL,JAX
00-0035144,724,382,342,46,36,0.12041884816753927,0.10526315789473684,Mack Wilson,LB,ARI
00-0039148,782,432,350,52,27,0.12037037037037036,0.07714285714285714,Keion White,DL,SF
00-0039886,662,321,341,38,35,0.11838006230529595,0.10263929618768329,T'Vondre Sweat,DL,TEN
00-0037235,838,490,348,58,33,0.11836734693877551,0.09482758620689655,Travon Walker,DL,JAX
00-0033570,480,296,184,35,18,0.11824324324324324,0.09782608695652174,Anthony Walker,LB,TB
00-0038116,513,348,165,41,11,0.11781609195402298,0.06666666666666667,Arnold Ebiketie,LB,ATL
00-0034368,745,374,371,44,20,0.11764705882352941,0.05390835579514825,Josey Jewell,LB,CAR
00-0039889,358,209,149,24,9,0.11483253588516747,0.06040268456375839,Maason Smith,DL,JAX
00-0030070,569,239,330,27,35,0.11297071129707113,0.10606060606060606,John Jenkins,DL,BAL
00-0037711,429,233,196,26,13,0.11158798283261803,0.0663265306122449,Jeremiah Pharms Jr.,DL,NE
00-0035942,898,478,420,53,28,0.1108786610878661,0.06666666666666667,Christian Rozeboom,LB,CAR
00-0037073,432,208,224,23,19,0.11057692307692307,0.08482142857142858,Jordan Davis,DL,PHI
00-0036813,485,276,209,30,13,0.10869565217391304,0.06220095693779904,Christian Elliss,LB,NE
00-0039347,540,259,281,28,15,0.10810810810810811,0.05338078291814947,Trevin Wallace,LB,CAR
00-0034413,761,408,353,44,25,0.10784313725490197,0.0708215297450425,Foye Oluokun,LB,JAX
00-0036568,436,206,230,22,22,0.10679611650485436,0.09565217391304348,Roy Lopez,DL,DET
00-0036990,642,340,302,36,33,0.10588235294117647,0.10927152317880795,Divine Deablo,LB,ATL
00-0037203,582,241,341,25,19,0.1037344398340249,0.05571847507331378,LaBryan Ray,DL,CAR
00-0033880,447,237,210,24,9,0.10126582278481013,0.04285714285714286,Charles Harris,DL,PHI
00-0036266,427,201,226,20,20,0.09950248756218906,0.08849557522123894,Jordan Elliott,DL,SF
00-0036262,592,303,289,30,24,0.09900990099009901,0.08304498269896193,DaVon Hamilton,DL,JAX
00-0038623,505,275,230,27,15,0.09818181818181818,0.06521739130434782,Dante Stills,DL,ARI
00-0036193,794,383,411,37,29,0.09660574412532637,0.0705596107055961,Anfernee Jennings,LB,NE
00-0035240,872,418,454,40,34,0.09569377990430622,0.07488986784140969,Jahlani Tavai,LB,NE
00-0037244,819,430,389,41,30,0.09534883720930233,0.07712082262210797,Devin Lloyd,LB,JAX
00-0035841,452,225,227,21,20,0.09333333333333334,0.0881057268722467,Benito Jones,DL,MIA
00-0037587,513,275,238,25,21,0.09090909090909091,0.08823529411764706,Nate Landman,LB,LA
00-0034251,685,331,354,30,28,0.09063444108761329,0.07909604519774012,Daniel Ekuale,DL,PIT
00-0039423,437,214,223,18,26,0.08411214953271028,0.11659192825112108,Jonah Laulu,DL,LV
00-0032889,721,326,395,27,19,0.08282208588957055,0.04810126582278481,A'Shawn Robinson,DL,CAR
00-0035409,568,210,358,17,18,0.08095238095238096,0.05027932960893855,Shy Tuttle,DL,TEN
00-0034371,525,284,241,22,23,0.07746478873239436,0.0954356846473029,Da'Shawn Hand,DL,LAC
00-0039774,481,233,248,17,18,0.07296137339055794,0.07258064516129033,Omar Speights,LB,LA
00-0038570,438,208,230,14,20,0.0673076923076923,0.08695652173913043,Ventrell Miller,LB,JAX
00-0033860,655,268,387,18,24,0.06716417910447761,0.06201550387596899,Davon Godchaux,DL,NO
00-0036903,490,208,282,13,23,0.0625,0.08156028368794327,Bobby Brown III,DL,CAR
